name,country,average,strike_rate,boundary_per_ball,boundary_index,finishing_index,runs_without_boundary_index,big_match_index,prelim_metric,pre-rank,kmeans_role,rbml_score,pca_score
GBW Munaweera,QAT,15.5,103.33,0.1,0.6,0.6,3.8,0.0,16.016,Poor,F,-0.141,-1.612
H Osinde,CAN,7.75,91.17,0.088,0.5,0.333,2.5,0.0,7.066,Poor,LCB,-0.763,-2.182
Saqlain Ali,BELG,10.33,59.61,0.058,0.75,0.25,4.75,0.0,6.158,Poor,LCB,-1.201,-2.327
JK Theodore,GHANA,7.75,93.93,0.121,0.8,0.2,2.6,0.0,7.28,Poor,LCB,-0.589,-1.721
P Abanda,CAM,7.5,53.57,0.107,1.5,0.0,1.5,0.0,4.018,Poor,LCB,-1.141,-2.079
TA Boult,NZ,6.0,75.0,0.05,0.182,0.545,2.0,0.0,4.5,Poor,LCB,-1.159,-3.029
E Ernest,SLE,6.0,60.0,0.04,0.286,0.286,3.143,0.0,3.6,Poor,LCB,-1.403,-2.984
WW Hinds,WI,7.5,73.17,0.073,0.6,0.2,3.6,0.0,5.488,Poor,LCB,-1.052,-2.305
Sharafuddin Ashraf,AFG,7.5,90.9,0.061,0.333,0.333,3.333,0.0,6.818,Poor,LCB,-0.873,-2.358
SR Mohan,SEY,9.66,55.76,0.038,0.4,0.4,4.2,0.0,5.386,Poor,LCB,-1.365,-2.822
SH Obed,VAN,5.8,70.73,0.024,0.143,0.286,3.571,0.0,4.102,Poor,LCB,-1.327,-2.965
C Pengkumta,THAI,14.5,70.73,0.049,0.5,0.5,5.25,0.0,10.256,Poor,LCB,-1.008,-2.264
S Rossi,ARG,9.66,107.4,0.111,0.75,0.25,3.75,0.0,10.375,Poor,LCB,-0.394,-1.459
Ahsan Malik,NED,9.33,93.33,0.067,0.25,0.625,2.25,0.0,8.708,Poor,LCB,-0.779,-2.529
KK Ahuja,MEX,4.0,56.0,0.04,0.286,0.0,2.571,0.0,2.24,Poor,LCB,-1.537,-3.002
G Bakiweyem,GHANA,14.0,70.0,0.0,0.0,0.667,4.667,0.0,9.8,Poor,LCB,-1.246,-2.974
R Goodwin,PHI,4.0,50.9,0.018,0.111,0.222,2.667,0.0,2.036,Poor,LCB,-1.671,-3.412
EJB Miles,JER,14.0,90.32,0.032,0.25,0.5,6.0,0.0,12.645,Poor,LCB,-0.831,-2.156
Muhammad Wafiq,MAL,7.0,87.5,0.094,0.5,0.333,2.0,0.0,6.125,Poor,LCB,-0.811,-2.273
Muslim Yar,GER,9.33,93.33,0.067,0.5,0.25,4.5,0.0,8.708,Poor,LCB,-0.765,-1.977
A Nehra,INDIA,5.6,71.79,0.077,0.6,0.0,2.4,0.0,4.02,Poor,LCB,-1.132,-2.373
B Niaz,BELG,9.33,32.18,0.0,0.0,0.25,7.0,0.0,3.002,Poor,LCB,-1.852,-3.191
R Pillai,GER,7.0,63.63,0.023,0.2,0.2,4.8,0.0,4.454,Poor,LCB,-1.395,-2.822
Ahmed Wardak,GER,13.5,71.05,0.026,0.25,0.5,5.75,0.0,9.592,Poor,LCB,-1.123,-2.502
BJ Davidson,SRB,6.75,58.69,0.087,1.0,0.0,2.75,0.0,3.962,Poor,LCB,-1.2,-2.245
Imal Zuwak,SWE,9.0,45.76,0.017,0.25,0.25,5.75,0.0,4.118,Poor,LCB,-1.601,-2.937
OE Olaleye,NGA,5.4,77.14,0.143,1.0,0.0,1.4,0.0,4.166,Poor,LCB,-0.798,-1.816
S Sengupta,CZK-R,9.0,108.0,0.12,0.75,0.25,3.75,0.0,9.72,Poor,LCB,-0.365,-1.419
Shapoor Zadran,AFG,3.85,41.53,0.046,0.231,0.462,0.692,0.0,1.599,Poor,LCB,-1.684,-3.655
P Florin,ROM,8.66,83.87,0.065,0.25,0.625,2.25,0.0,7.263,Poor,LCB,-0.923,-2.697
TJ Murtagh,IRE,13.0,104.0,0.04,0.2,0.6,4.0,0.0,13.52,Poor,LCB,-0.655,-2.24
LN Oluoch,KENYA,8.66,78.78,0.061,0.333,0.5,3.0,0.0,6.822,Poor,LCB,-1.001,-2.609
E Otieno,KENYA,4.33,50.0,0.019,0.1,0.4,2.0,0.0,2.165,Poor,LCB,-1.663,-3.583
L Shafeeg,MALD,8.66,96.29,0.111,0.6,0.4,2.4,0.0,8.339,Poor,LCB,-0.58,-1.936
MB Tambe,FIN,8.66,89.65,0.069,0.286,0.571,2.571,0.0,7.764,Poor,LCB,-0.83,-2.513
Bilal Khan,OMA,4.16,59.52,0.024,0.059,0.647,1.235,0.0,2.476,Poor,LCB,-1.498,-3.673
CRD Fernando,SL,5.0,92.59,0.148,0.571,0.286,1.286,0.0,4.63,Poor,LCB,-0.593,-1.945
Hassan Mehmood,SWE,12.5,80.64,0.032,0.2,0.6,3.8,0.0,10.08,Poor,LCB,-1.011,-2.648
